"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1981,-5.9,-18.4,-9.1,-6,-7.4,-7.9,-8.5,-6,-7.7,-6.1,-6.2,-9.4,-2.3,-7.8,-11.3,-9.8,-4.8,-8,-11.7,-18.4
"historical",1982,-6.8,-23,-7.8,-6.3,-6.3,-9.9,-6.8,-8.1,-6.9,-10.7,-6,-11,-3,-4.2,-11.3,-10.7,-4.6,-8.4,-8.7,-23
"historical",1983,-7.7,-23.5,-7.2,-9.6,-8.9,-5.6,-6.4,-7.3,-10.3,-10.3,-3.4,-10.7,-6.3,-8.4,-10.2,-10.3,-1.3,-6,-13.6,-23.5
"historical",1984,-7.7,-19.6,-2,-10.6,-5.5,-7.1,-7.8,-5.1,-8.6,-4.8,-7.3,-8.5,-2,-4.7,-5.4,-11.9,-2,-9.1,-10.7,-19.6
"historical",1985,-5,-27,-4.1,-8,-7.6,-7,-7.9,-7,-5.2,-6.1,-6.5,-9.6,1.6,-9.2,-8.3,-9.3,-0.3,-5,-11.8,-27
"historical",1986,-5.9,-21.2,-6.1,-6.9,-7.4,-7.3,-9.7,-7.3,-7.6,-11,-6.1,-8.6,0.8,-9.5,-9.5,-10.6,-4.1,-11.5,-8.8,-21.2
"historical",1987,-6.4,-23.8,-8,-8.6,-4.9,-7.1,-6.1,-5.2,-8.2,-7.8,-5.1,-12.6,0.3,-4.4,-7.8,-16.7,-4.5,-12,-11.7,-23.8
"historical",1988,-6.5,-22.4,-7.1,-8.8,-7,-8.1,-7,-8.6,-6.9,-6.6,-8,-10.9,1,-6.3,-7.8,-8.8,-1.3,-6.7,-10.1,-22.4
"historical",1989,-6.7,-18.8,-2.7,-9.1,-8.7,-11.9,-6.7,-5.6,-5.9,-8.7,-6,-8.6,-0.9,-3.3,-6.6,-13.1,-4.9,-7.8,-9.1,-18.8
"historical",1990,-4.7,-19.8,-4.5,-6.6,-4,-5.7,-6.1,-1.3,-4.4,-8.9,-6.3,-8.3,-4.6,-6.9,-6.2,-13.3,-2,-10.2,-8.7,-19.8
"historical",1991,-4.2,-18.7,-9.8,-8.4,-5.2,-9.3,-6.1,-3.8,-4.4,-8.5,-4.3,-11.6,-1.4,-4.3,-10.1,-7.4,-4.9,-6.2,-10.7,-18.7
"historical",1992,-4,-20.6,-7.5,-7.5,-8.6,-6.2,-5.6,-2.3,-9.9,-6.5,-6.8,-13.6,-2.9,-4.5,-10.2,-11.1,-7.3,-8.8,-7.7,-20.6
"historical",1993,-7.2,-24.9,-8.8,-9.2,-6.7,-6.3,-6.9,-5.7,-5.1,-6.3,-7.6,-11.8,-2.3,-5.7,-11.1,-9.8,-2.5,-12.6,-10.5,-24.9
"historical",1994,-6.1,-22.8,-4,-10.9,-6.1,-4.5,-9.8,-4.6,-6.1,-11.1,-6,-9.4,-1.5,-3.8,-11.3,-13.3,-2.9,-4.9,-6.6,-22.8
"historical",1995,-5.8,-19.4,-5.1,-8.3,-8.5,-6.3,-9.2,-7.5,-6.4,-8.1,-5.3,-10.4,-3.8,-5.9,-13,-11.5,-4.7,-7.1,-7.9,-19.4
"historical",1996,-5.2,-17.4,-6.6,-9.8,-11,-4.6,-9,-7.3,-8.4,-9.2,-7.6,-9.2,-1.9,-9.8,-5.9,-13.5,-4.4,-6.7,-9.2,-17.4
"historical",1997,-5.1,-21.8,-5.6,-8.5,-7.4,-4.7,-12.7,-7.1,-7.2,-11.6,-4.6,-9.2,0.9,-7.1,-7.3,-7.6,-2.6,-7.5,-10.8,-21.8
"historical",1998,-5.9,-18.5,-3.7,-11.6,-6.3,-5.8,-9.8,-3.9,-6.9,-8.4,-6.7,-10.5,-1.4,-7,-7.8,-7.7,-1.2,-7.5,-8.6,-18.5
"historical",1999,-5.6,-19.7,-6.6,-9,-10.1,-5.5,-6,-6.6,-5.4,-4.7,-9.8,-13.4,-3.3,-3.8,-10.2,-10.5,-1.9,-4.6,-6.4,-19.7
"historical",2000,-8.3,-20.5,-6.7,-8.3,-7.6,-4.8,-5.4,-5.3,-6.6,-8.7,-4.1,-7.3,-2.4,-5.6,-9.8,-9.9,-6.8,-5.9,-10.3,-20.5
"historical",2001,-6.9,-22.6,-5.5,-11.4,-5.4,-5,-6.5,-5.9,-6.6,-9.9,-4.7,-9.9,-0.1,-4.8,-5.8,-14.6,-1.3,-8.1,-8.8,-22.6
"historical",2002,-4.6,-24.4,-7.8,-6.6,-6.8,-5.1,-4.9,-6.5,-5.3,-7.2,-2.6,-11.1,-1.6,-4.7,-7.9,-10.1,-0.7,-6.6,-7.7,-24.4
"historical",2003,-5,-19.9,-2.9,-8.9,-5.4,-6.1,-9.7,-5.4,-4.4,-8.9,-7.2,-11.7,-2.9,-3.4,-9.4,-11.3,-4.1,-4.8,-6.5,-19.9
"historical",2004,-7,-23.6,-7,-7,-6.8,-4.5,-9.4,-7.5,-6.2,-8.7,-3.4,-11.1,-2,-6.7,-10.5,-10.4,-1.7,-6.1,-7.7,-23.6
"historical",2005,-6.4,-23.5,-3.2,-10.7,-7,-5.9,-5.4,-8.8,-7.1,-8.2,-4.4,-10.3,-0.3,-3.3,-8,-12.7,-2.3,-5.3,-6.9,-23.5
"historical",2006,-6.7,-22.9,-5.1,-6.3,-9,-6.4,-6.6,-4.2,-6.6,-7.2,-2.3,-8,-1.7,-3.6,-8.4,-15.9,-2.3,-7.2,-7.7,-22.9
"historical",2007,-5.9,-24.5,-5.4,-7.6,-4.5,-5,-5.3,-6.5,-6.9,-6.7,-3.8,-7.7,-1.2,-6.5,-8.2,-10.3,-3.5,-4.3,-10.6,-24.5
"historical",2008,-6.1,-21.4,-5.6,-10,-7.1,-5.7,-6.6,-4.6,-7.2,-6.9,-6.5,-9.8,-2,-2.5,-6.9,-10,-3.9,-5.2,-7.8,-21.4
"historical",2009,-5,-27.6,-6.9,-5.4,-8.6,-4.7,-8.5,-5.9,-4.4,-7.1,-3.4,-11.7,0,-10.3,-9.5,-10,-2.6,-3.9,-6.2,-27.6
"historical",2010,-5.9,-19.5,-7.6,-7.5,-9.7,-4.9,-3.5,-2.9,-4.4,-4.6,-3.9,-8.7,-1.9,-7.2,-7.3,-8.5,-4.7,-5.4,-10.7,-19.5
"historical",2011,-3.8,-19.4,-6.3,-8.1,-7.4,-9.8,-6.5,-5.5,-8.5,-7.1,-4.4,-12.3,-1.5,-5.7,-7.8,-7.8,-2,-4.6,-10.1,-19.4
"historical",2012,-3.5,-22.5,-6.8,-6.9,-7.7,-4.2,-6.4,-6,-7,-11,-2.2,-7.7,-1.7,-4.5,-8.8,-9.9,-1.3,-7.1,-7.3,-22.5
"historical",2013,-4.5,-21,-2.8,-10,-5.1,-6.1,-5.8,-7.3,-4.7,-8.6,-6.1,-11.3,-1.7,-6.7,-9.8,-9,-2.4,-4.3,-9.4,-21
"historical",2014,-3.8,-24.2,-1.9,-4.2,-6.8,-6,-6.1,-3.1,-5,-8.1,-6.5,-10.2,-2.1,-4.1,-9.7,-11.7,-2.6,-4,-8.9,-24.2
"ssp126",2015,-2.9,-20.8,-2.1,-6.4,-7.7,-4.6,-6.3,-6,-4.5,-4.7,-4.3,-8.9,2.8,-9.6,-6.2,-8.6,1.5,-8.1,-7,-20.8
"ssp126",2016,-4.6,-24.5,-3,-7,-6.6,-7.2,-3.3,-5,-4.3,-1.8,-5.1,-8.4,-1.1,-8.5,-4.7,-10.1,0.9,-4.8,-7.9,-24.5
"ssp126",2017,-3,-21.2,-4.1,-6,-5.8,-6.6,-6.4,-2.7,-3.9,-5.1,-0.3,-8.6,-1.6,-10.3,-3.8,-13.1,-2.5,-6,-5.7,-21.2
"ssp126",2018,-5.8,-24.2,-1.7,-7.1,-6.3,-8.4,-6.8,-5.1,-8.7,-1.5,0.5,-8.3,3.6,-4.8,-6.3,-8,1.2,-4.5,-4.7,-24.2
"ssp126",2019,-6.3,-22.6,-2.9,-5.8,-6.8,-5.6,-5.3,-2.7,-6,-4.1,-1.4,-9.5,0.7,-3.1,-4.6,-10.2,-0.5,-5.6,-4.9,-22.6
"ssp126",2020,-3.4,-12.2,-2,-7.3,-4.5,-5.8,-5,-3.4,-6.5,-3.7,-3.7,-8.9,3,-5.7,-7.5,-10.2,0.7,-5.8,-5.4,-12.2
"ssp126",2021,-2.6,-10.9,-8.9,-5.8,-7.5,-3.5,-7.3,0.3,-4.3,-1.2,-4.7,-5.4,2.8,-5.9,-2,-10,-1.4,-4,-9.1,-10.9
"ssp126",2022,-4.8,-23.7,-1.5,-4.9,-6.1,-7.3,-5.9,-4.4,-7.2,-2.6,0.8,-8,2.5,-8.9,-5.9,-9.6,1.1,-2.4,-5.1,-23.7
"ssp126",2023,-4.5,-15.6,-4.3,-7.9,-9.6,-5.3,-6,-4.1,-6.8,-4.3,-2.1,-8.1,1.1,-7,-3.8,-7.9,-2,-3.3,-5.5,-15.6
"ssp126",2024,-4.2,-25.3,-9.2,-6.4,-5.9,-2.7,-6.1,-3.1,-6.9,-8.9,-0.1,-8.7,2.2,-4.7,-2.6,-8,1.3,-6.1,-4.2,-25.3
"ssp126",2025,-5,-18.3,-4.5,-5.3,-6,-6.2,-5.7,-3.8,-6.4,-8.9,3.1,-7,2,-3,-3,-8.5,-1.6,-5.6,-5.7,-18.3
"ssp126",2026,-3.2,-9.7,-5.7,-6.9,-7,-5.3,-4.9,-2.6,-4.8,-0.2,0.9,-9.1,-0.1,-6.2,-2.3,-11.1,2.1,-6.1,-7.3,-11.1
"ssp126",2027,-5.7,-10.4,-9.1,-5.9,-7,-4.1,-6.6,-3.4,-6.8,-1.6,-2.4,-6.8,-2.7,-4.5,-3.7,-7.3,-6.2,-8,-8.5,-10.4
"ssp126",2028,-5.6,-14.2,-4.5,-8.1,-6,-5.4,-5.7,-3.2,-7.1,0,0.4,-7.2,4.6,-5.9,-8.5,-9.8,-0.5,-2.8,-5.9,-14.2
"ssp126",2029,-2.4,-21.7,-0.9,-4.9,-6.1,-4,-3.2,-2.6,-5.1,-1.6,1.8,-10.3,1.2,-5.3,-10.3,-10,1.9,-1.8,-5.3,-21.7
"ssp126",2030,-5,-22.6,-2,-7.8,-6.5,-3.7,-5.3,-0.9,-7.2,-5.5,-2.2,-8.2,-0.3,-5.3,-5.8,-8.5,1,-2.3,-7.9,-22.6
"ssp126",2031,-5.2,-19.1,-1.7,-6.2,-6.5,-4.7,-6.9,-2.7,-7.8,0,1,-5.8,-2.5,-5.5,-9,-10.5,2.3,-4.8,-5.5,-19.1
"ssp126",2032,-5.7,-17.2,-3.4,-6.2,-8.3,-3.5,-5.4,-2.1,-5,-1.5,-2.8,-4.7,2.5,-2.7,-2.6,-7.4,2.2,-7.7,-5.8,-17.2
"ssp126",2033,-5.1,-25.6,-2.5,-4.8,-5.2,-8.4,-6.6,-3.5,-2.7,-2.8,-6.5,-5.2,4.5,-5.7,-6.9,-8.6,-4.9,-3.9,-6.7,-25.6
"ssp126",2034,-4.3,-23.9,0.5,-5.6,-4.7,-4.1,-7.3,0,-3,-6.6,-4.4,-5.5,-1.5,-5.8,-2.8,-10.4,-1.1,-5.9,-6.3,-23.9
"ssp126",2035,-5.6,-12.5,-5.8,-5.3,-4.7,-2.6,-8.1,-1,-9.4,-2.9,-1.4,-9.7,1.8,-2.1,-3.3,-9.3,-2.3,-3.8,-8.1,-12.5
"ssp126",2036,-3.8,-10.2,0.9,-7,-6.6,-3.6,-4.2,-1.9,-9.3,-4.3,-4.1,-7.6,-1.7,-4.2,-5.9,-8.4,1.2,-0.9,-5.5,-10.2
"ssp126",2037,-1.1,-16.8,-5.5,-7.1,-7.7,-4.7,-5.6,-0.7,-5.5,-7.3,-1.4,-9.3,1,-4.9,-6.4,-10.6,0.9,-2.8,-6.1,-16.8
"ssp126",2038,-5.8,-21.2,-0.5,-4.6,-4.4,-6.1,-7,-2.9,-4.5,-4.2,-0.3,-4.2,3.1,-2.8,-7.5,-12.6,0.8,-4.6,-3.8,-21.2
"ssp126",2039,-4.2,-13.2,-1.9,-5.2,-4.9,-4.2,-8,-3,-5,-3.5,1.6,-11.3,3.3,-6.5,-2.5,-10,1.3,-7.3,-5,-13.2
"ssp126",2040,-1.6,-5.7,-2.7,-6.8,-8,-4.8,-4.3,-5.7,-7.2,-1.4,-3.7,-8.7,2.6,-3.2,-4.6,-10.1,0.2,-2.5,-6.4,-10.1
"ssp126",2041,-5,-16.8,-0.6,-4.8,-4.1,-3.6,-6.7,-3.3,-6.4,-2.6,-0.1,-4.5,0.2,-1.9,-1.5,-12.3,-1.8,-1.9,-7.3,-16.8
"ssp126",2042,-5.2,-13.2,-3.1,-6.9,-6,-4.8,-6.8,-1.2,-2.7,-1.1,-1.1,-8.5,4.9,-6,-3.6,-8.6,-2,-1.9,-6.4,-13.2
"ssp126",2043,-3.3,-17.3,0.7,-7.6,-5.8,-3.2,-4,-1.6,-4.6,-2.3,-3.3,-8.1,2,-0.8,-7.6,-6.6,1.4,-5.8,-8,-17.3
"ssp126",2044,-3,-8.6,-2.8,-3.8,-4.6,-4,-5.6,-4.1,-5.9,0.5,-1.9,-6.8,2.8,-4.1,-7.1,-9.9,2,-1.6,-8.7,-9.9
"ssp126",2045,-1.2,-19.3,-5.6,-3.6,-5,-2.3,-5,-1,-4.1,-8.4,-0.2,-5.3,0.8,-2.5,-2.3,-8.3,1.6,-2.6,-5.2,-19.3
"ssp126",2046,-4.6,-13.6,-4.2,-6.5,-8.9,-2.3,-5.4,-0.7,-4.4,0.8,0.5,-7,3,-7.9,-1.8,-9,-3.6,-4.4,-1.9,-13.6
"ssp126",2047,-3.7,-12,2.2,-2.7,-8.7,-5.3,-7.3,-2.5,-6.3,0.6,2.2,-7.3,0.8,-3.3,1,-9.2,1.9,-2.2,-4.6,-12
"ssp126",2048,-4.8,-15.7,0,-5.4,-4.9,-5.1,-6,-4.8,-3.8,-2.7,-0.3,-5.6,0.7,-6.1,-12.1,-9.5,-0.5,0.6,-5.7,-15.7
"ssp126",2049,-2.8,-13.9,-3.5,-7.5,-4.4,-6.2,-4.3,-2,-3.3,-2.4,-0.1,-7.5,1.6,-3.3,-5.7,-6.6,-1.4,-1.6,-7.4,-13.9
"ssp126",2050,-3.9,-19.2,0.9,-5.5,-4.1,-4.5,-6.7,-1.7,-5.5,-4.9,1.3,-9.7,2.5,-5.8,-8,-7.9,-0.3,-6.5,-7.9,-19.2
"ssp126",2051,-2.8,-14,-9.3,-3.9,-3.6,-7.5,-7.7,-3.1,-3.8,-2.5,2,-6.7,0.5,-3.9,-2.1,-8.5,1.3,-0.6,-4.4,-14
"ssp126",2052,-3.4,-13,1.8,-5.9,-3.9,-5,-5.5,-0.6,-7.6,0.3,-1.5,-9.2,-0.7,-4.9,-5.7,-9.1,-0.1,-3.7,-6.1,-13
"ssp126",2053,-3.8,-14.9,-0.3,-6.6,-7.4,-7.9,-4.3,-6.2,-4.1,-0.8,-0.2,-8.1,0.3,-6.8,-5.7,-7.5,-0.5,0.4,-5.1,-14.9
"ssp126",2054,-4.6,-13.4,-3.6,-10.3,-5.2,-2.3,-5.9,-2.3,-4.9,-5.6,-1.5,-5.7,2.1,-4.5,-4.1,-10.3,2.6,-2.6,-3.3,-13.4
"ssp126",2055,-4,-10.7,-3.5,-5.9,-4.9,-3.5,-4.9,0.8,-3.3,0.7,-2,-5.1,3,-1.4,-0.6,-9.8,2.2,-4.4,-3.5,-10.7
"ssp126",2056,-3,-18.3,0.6,-6.6,-5.5,-6.3,-5.4,-7,-5.4,-6.2,1.3,-8.4,5.7,-3.9,-2.5,-9.3,-0.5,-3.2,-4.3,-18.3
"ssp126",2057,-3.5,-10.6,-2.1,-3.2,-4.5,-7.2,-6.9,-6.8,-4.2,-0.2,0.4,-5,2.1,-6,-4.6,-8.5,-1,-2.6,-4,-10.6
"ssp126",2058,-3.1,-8.1,0,-6.7,-6.4,-1.5,-4.2,-3.7,-3.7,-1.5,-1.9,-7.9,0.4,-3.5,-7.8,-6.2,2.8,-3,-3.7,-8.1
"ssp126",2059,-3.9,-18.8,-3.7,-6.3,-5.9,-2.7,-3.9,-1.4,-3.8,-4.4,0.5,-9.8,3,-2.3,-4.1,-6.9,-1.8,-0.5,-3.6,-18.8
"ssp126",2060,-3.2,-5.8,-3.5,-3.9,-4.3,-2.6,-4.4,-5,-6.7,-5.7,-0.5,-8.6,-0.6,-4.7,-2.8,-7.9,-2.2,-1.9,-4.6,-8.6
"ssp126",2061,-2,-22.2,-3.3,-3.7,-4.9,-3,-7.9,-2.1,-7.7,-2.5,-2.5,-6.5,3.8,-4.4,-2.6,-6.5,0.2,-5,-4,-22.2
"ssp126",2062,-3.6,-13.5,2.7,-4.6,-5.6,-4,-3.6,-1.5,-8.6,-0.8,-0.6,-11.3,-1.6,-3.5,-4.4,-5.8,3.1,-0.6,-5.3,-13.5
"ssp126",2063,-3,-14.3,-1.2,-5.3,-5.6,-3.2,-4.5,-2.2,-5.9,-0.3,-2,-10.4,4.1,-3.9,-2.9,-9.8,-2.5,-5.9,-6.5,-14.3
"ssp126",2064,-4.1,-16.6,-5.5,-3.8,-6,-2.8,-4.2,-3.4,-6.5,-2.2,3.4,-5.1,2.3,-4.7,-5.8,-11.1,3.6,-3.6,-3.6,-16.6
"ssp126",2065,-4.3,-21.1,-0.2,-4.7,-6.7,-5.3,-5.5,-6.8,-6.9,-3.1,0.8,-7.6,2.2,-0.6,-7.5,-9,3.3,-6.7,-5.9,-21.1
"ssp126",2066,-2.7,-17,1.9,-5.8,-5.1,-3,-4.3,-2,-2.8,0.3,1.2,-5.9,-1.2,-1.3,-1.4,-11.3,0.6,-4.6,-6,-17
"ssp126",2067,-3.9,-22.2,-1.7,-5.1,-2.5,-4.8,-2.5,-1.6,-7.5,-3,-0.6,-6.7,4.2,-1.1,-4.1,-9,2.2,-1.7,-7.2,-22.2
"ssp126",2068,-1,-18.6,-1.3,-4.8,-5.2,-3.6,-5,-3.7,-2.2,-1.5,1.7,-6,2.6,-8.8,-4.5,-9,1.9,-0.4,-2.1,-18.6
"ssp126",2069,-3.6,-13,-7.2,-4.2,-3.7,-5.6,-2.3,-3.7,-4.7,-3.7,3,-7.3,3.1,-3.2,-3.1,-11.8,2.8,-8.2,-7.3,-13
"ssp126",2070,-1.7,-6.4,-4.9,-4,-3.9,-5.3,-5.1,0.6,-6.3,-5.1,0.2,-4.7,0.6,-2.7,-3.1,-8.2,2.8,0.2,-5.3,-8.2
"ssp126",2071,-2,-15.4,-1.6,-8.9,-3.6,-2.2,-4.9,-4.6,-4.9,-0.5,-2.4,-8.1,-3.4,-1.5,-1.9,-8,0.5,-1.5,-1.1,-15.4
"ssp126",2072,-3.5,-12.8,-1.2,-3.4,-4.3,-2.9,-5.8,-1.3,-7.1,-3.2,-1.7,-4.3,4.8,-5.3,-1.2,-7.9,1.4,-3.6,-6,-12.8
"ssp126",2073,-4,-1.8,-5.3,-5.4,-3.2,-6.5,-8.8,-4.6,-6.1,1.9,4,-4.7,4.8,-5.4,-4.6,-11.4,0.3,-1.4,-3.7,-11.4
"ssp126",2074,-2.8,-10.4,0.5,-6.4,-8.6,-2.8,-5.6,-0.9,-5.2,0.5,-0.5,-4.4,3.2,-1.7,-5.6,-7,1.5,-2.5,-0.9,-10.4
"ssp126",2075,-4.4,-23.6,-2.1,-7,-7.4,-2.5,-3.8,-2.9,-3.9,0.3,2.8,-10.4,2.2,-3.1,-3.3,-11.3,-6.1,-3.7,-4.7,-23.6
"ssp126",2076,-1.1,-8.5,-0.4,-6.4,-5.1,-3.9,-2.2,-5.9,-3.7,-0.7,2.5,-5.7,-0.4,-3.8,-4.7,-9.2,1.7,-1.6,-4.8,-9.2
"ssp126",2077,-5.4,-20.5,-5.1,-5.4,-3.7,-3.3,-7.8,-3.8,-4.4,0.5,0.1,-8.1,2.7,-3.5,-1.8,-8.6,2.2,-0.4,-4.5,-20.5
"ssp126",2078,-5.4,-23.2,-2.5,-6.2,-3.2,-3.3,-7.3,-0.4,-4.6,-3.2,-6.6,-7.5,2.9,-4.4,-3,-6.9,2.7,-3.4,-3.7,-23.2
"ssp126",2079,-5.3,-23.9,-0.1,-5.9,-3,-5,-5.3,-2.2,-2.7,-3.2,-3.4,-5.2,5.2,-2.9,-6.9,-7.5,1.3,-6.6,-6,-23.9
"ssp126",2080,-2.2,-14.3,-5,-4.5,-5,-8,-4.4,-1.8,-4.7,-5.6,3.4,-7.4,2.8,-3.4,-2.5,-8.6,0.3,-2.4,-2,-14.3
"ssp126",2081,-2.4,-18.7,-4,-7.7,-7.4,-3.2,-2.6,-6.6,-5.8,-5.8,3,-7.2,-0.3,-5.2,-4.6,-8.6,2.5,-1.1,-2.7,-18.7
"ssp126",2082,-2.4,-9.9,0.6,-4.9,-4.8,-4.4,-8.7,-0.7,-2,-1.5,2,-7.7,1.7,-4.3,-3.9,-6.9,-2.6,-0.6,-2.3,-9.9
"ssp126",2083,-2.1,-8.3,-0.8,-8.6,-4.2,-1.5,-5.2,-1.7,-3.2,-5,2,-7.2,6,-4.4,-3.1,-8.8,-4.9,-1.3,-3.5,-8.8
"ssp126",2084,-2.3,-4.3,-7.5,-4,-5.8,-4.2,-3.2,-5.6,-3.8,1.3,-3.8,-5.5,0.6,-4.5,-3.2,-7.8,1.9,-2.9,-9.1,-9.1
"ssp126",2085,-2.2,-10.6,1.3,-5.4,-3.9,-3.8,-2.5,-7.7,-6.1,-0.8,-2.5,-8,3,-5.6,-1.7,-9.7,-0.2,-7.2,-4.9,-10.6
"ssp126",2086,-0.9,-14.7,-7.2,-4.2,-1.4,-4.2,-7.1,-1,-4.2,-5.9,1.6,-6.3,1.4,-2.3,-5.6,-9.9,2.7,-5,-1.5,-14.7
"ssp126",2087,-4,-12.3,-2.7,-3,-3.1,-4,-3.2,-1.9,-2.1,0.8,-2.9,-10.2,1.2,-3.2,-5.7,-10.1,2,-4.7,-5.5,-12.3
"ssp126",2088,-2.1,-16,-0.5,-5.2,-5.1,-3.1,-4.3,-2,-5.1,-2.4,-2.5,-3.7,0.4,-3.3,-2.7,-8.1,0.1,-5.3,-9.3,-16
"ssp126",2089,-2.3,-22.4,-1.7,-5.3,-5.8,-3.5,-3.3,-3.4,-5.6,-2,0.2,-9.1,2,-3.5,0.1,-12.4,0.3,-3.4,-3.3,-22.4
"ssp126",2090,-4.2,-15.5,-8.3,-5.5,-2.9,-3.5,-6.1,-0.4,-4.1,0.9,-4.2,-6,3.4,-4.5,-4.4,-9.1,-0.1,-5,-6.3,-15.5
"ssp126",2091,-3,-7.6,-4.6,-6.9,-5.3,-0.8,-4.7,-6.8,-8,-5.7,2.4,-6.2,5,-6.8,-5,-9.3,1.7,-4.1,-6.2,-9.3
"ssp126",2092,-2.8,-11.4,-0.8,-6.9,-4.9,-2,-4.8,-4.4,-5.5,-2.1,-2,-4.6,1.9,-2.8,-2.6,-7.1,1.1,1.3,-4.7,-11.4
"ssp126",2093,-1.1,-20.4,-2,-6.8,-4.7,-3.5,-4.5,-2.4,-4,-3.6,-3.7,-9.9,2.4,-5.6,-8.2,-8.6,-4.1,-4.2,-4,-20.4
"ssp126",2094,-4.3,-22.8,-1.6,-6.1,-4.1,-6.5,-4,-5.9,-3.4,0.2,0.6,-6,-1.4,-4.3,-2.3,-8.3,-2.4,-5.3,-7.3,-22.8
"ssp126",2095,-2.7,-13.3,-3.4,-6.7,-9.2,-5.6,-5.7,-8.2,-4.4,-3.8,1.7,-6.5,2.3,-2.6,-3.6,-7.9,-1.7,-1.8,-3.4,-13.3
"ssp126",2096,-2.5,-17,-5.4,-5.6,-6.4,-6,-7.9,-6.4,-7.3,0.6,-3.2,-5.1,5.8,-6.2,-6.8,-6.7,3.7,-3.8,-5.7,-17
"ssp126",2097,-2.9,-10.9,-2.7,-3.4,-6,-7.9,-4.1,0.3,-7.4,0.2,0.7,-7.8,2.1,-7.4,-5.4,-7,1.1,-2.2,-6.2,-10.9
"ssp126",2098,-1.7,-16.8,-6.4,-1.2,-6.6,-2.5,-6.5,-6.4,-2.8,0.6,-3.1,-8,-0.1,-3.2,-4.3,-8.3,3.2,-4.2,-2.7,-16.8
"ssp126",2099,-3,-14.7,0.9,-3.6,-5.1,-7,-4.1,-3.3,-4.7,-0.4,1.3,-6.3,0.3,-3.1,-5.7,-7,1.5,-2.6,-2.8,-14.7
"ssp126",2100,-1.9,-19.2,-1,-3.8,-6.7,-4.6,-2.2,-2.4,-5.5,-3.2,-3.8,-4.5,0.5,-3.7,-5.9,-9.1,-1.8,-4.7,-4.9,-19.2
"ssp245",2015,-7.9,-25.2,0.8,-7.8,-8.2,-4.5,-5.1,-3.5,-3.9,-2.5,-6.2,-9.2,2.4,0,-4.1,-10.2,0.5,-7.6,-9.7,-25.2
"ssp245",2016,-5.7,-19.1,-1.1,-6.4,-5.6,-6.3,-6,-5.3,-5.3,-3.1,-0.9,-8.6,0.4,-1,-5.9,-9.7,1.6,-7.5,-5.6,-19.1
"ssp245",2017,-2.8,-18.6,0.6,-7,-7.7,-9.1,-5,-2.9,-5.1,-0.7,0.4,-8,-2.6,-0.7,-4.7,-9.1,0.7,-1.1,-8.2,-18.6
"ssp245",2018,-3.7,-16.3,0.1,-8,-4.3,-6.7,-5.2,-5.3,-5.4,-1.6,0.5,-6.6,3.8,1.3,-7.8,-9.9,-2.9,-7.6,-5.6,-16.3
"ssp245",2019,-4.6,-12.1,-0.6,-5.7,-4.3,-5.3,-9.5,-5.8,-6.5,-8.1,-1,-8.5,3.3,-6.2,-6.6,-9.1,-1.7,-2.7,-7,-12.1
"ssp245",2020,-6.6,-12.2,-0.3,-5.4,-10,-8,-6.6,-5.9,-6.8,-1.9,-5.7,-5.8,3.5,-3.1,-3.4,-9.6,-2.6,-6.2,-6.8,-12.2
"ssp245",2021,-2.7,-16.7,-2.8,-7.3,-6.3,-5.1,-5.2,-8.2,-3.6,-6.3,0.7,-10.6,1.3,-5,-4.8,-14.3,0.5,-7,-5,-16.7
"ssp245",2022,-2.9,-7.3,-4,-8.5,-6,-2.3,-2.5,-6.6,-6.2,-0.6,-0.9,-5.7,2.9,-2.3,-1.9,-10.2,-0.6,-4.7,-7,-10.2
"ssp245",2023,-4,-21.2,-8,-8.4,-5.9,-3.6,-7.8,-8.9,-5.5,-8.6,1.7,-6.8,1.9,0.2,-7.7,-12.1,0.3,-5.8,-4.3,-21.2
"ssp245",2024,-3.8,-10.9,1.1,-8.1,-5.2,-2.7,-4.6,-5.9,-5.2,-2.5,0.2,-9.5,2.6,-4,-4.8,-12.3,-1.8,-2.8,-5.9,-12.3
"ssp245",2025,-3.4,-14.8,-4.1,-7.5,-5.9,-3.7,-6.5,-6.6,-4.7,-2,3.5,-10,1.9,-2.8,-7.8,-8.6,1.8,-7.2,-6.2,-14.8
"ssp245",2026,-4.2,-21.1,-5.3,-3.9,-6.5,-4.5,-6.9,-3.1,-4.7,-6.7,0.3,-10,2,-2.7,-8,-8.9,2.8,-2.4,-9.6,-21.1
"ssp245",2027,-3.7,-17.6,-6.6,-6.4,-6.8,-2.8,-2.9,-3.4,-4.4,-5.5,1.3,-7.8,0.2,-1.7,-8.3,-7.4,-0.4,-2.9,-7.5,-17.6
"ssp245",2028,-4.4,-14.5,-5.8,-5.5,-6.8,-6.8,-4.5,-3.7,-6.8,-11.5,1.4,-10.2,2.3,-3.6,-8.6,-12.5,-3.1,-5,-6.1,-14.5
